rank,shobi_code,inspired_by,brand,gender,season,note_count,main_5_notes,fragrantica_url,name_ok,brand_ok,gender_ok,season_ok,notes5_ok,fragrantica_ok,complete_core,status
83,1978-ARM,,,,,0,,,0,0,0,0,0,0,0,MISSING_FROM_MASTER
84,1476-NRO WP,MUSC NOIR FOR HER - NARCISO RODRIGUEZ,Narciso Rodriguez,women,,0,,,1,1,1,0,0,0,0,"MISSING:season,notes5,fragrantica"
85,318-MNT EL,CHOCOLATE GREEDY,Montale,unisex,,0,,,1,1,1,0,0,0,0,"MISSING:season,notes5,fragrantica"
86,1775-DIP N,ORPHEON EAU DE PARFUM,Diptyque,unisex,,0,,https://www.fragrantica.com/perfume/Diptyque/Orpheon-125429.html,1,1,1,0,0,1,0,"MISSING:season,notes5"
87,1651-TMU W,ALIEN GODDESS,Mugler,women,,6,Coconut Water|Bergamot|Jasmine|Heliotrope|Bourbon Vanilla,https://www.fragrantica.com/perfume/Mugler/Alien-Goddess-68354.html,1,1,1,0,1,1,0,MISSING:season
88,1846-MAN EL,COCO VANILLE - MANCERA,Mancera,unisex,,0,,,1,1,1,0,0,0,0,"MISSING:season,notes5,fragrantica"
89,2053-BDIK,GRIS CHARNEL EXTRAIT - BDK,Bdk Parfums,unisex,winter|autumn,0,,https://www.fragrantica.com/perfume/BDK-Parfums/Gris-Charnel-Extrait-73645.html,1,1,1,1,0,1,0,MISSING:notes5
90,355-TMFO EL,NEROLI PORTOFINO,Tom Ford,unisex,,14,Bergamot|Bitter Orange|Lavender|Lemon|Mandarin Orange,https://thescentbase.com/it/perfumes/tom-ford/neroli-portofino,1,1,1,0,1,1,0,MISSING:season
91,1528-KUR N,BACCARAT ROUGE 540 EXTRAIT,Maison Francis Kurkdjian,unisex,,9,Bitter Almond|Saffron|Egyptian Jasmine|Virginia Cedar|Ambergris,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Baccarat-Rouge-540-Extrait-de-Parfum-46066.html,1,1,1,0,1,1,0,MISSING:season
92,359-TMFO EL,NOIR EXTREME,Tom Ford,unisex,,14,Cardamom|Mandarin Orange|Neroli|Nutmeg|Saffron,https://thescentbase.com/it/perfumes/tom-ford/noir-extreme,1,1,1,0,1,1,0,MISSING:season
93,2369-MAN EL,AMORE CAFFE - MANCERA,Mancera,unisex,,0,,,1,1,1,0,0,0,0,"MISSING:season,notes5,fragrantica"
94,1618-NISH N,ANI - NISHANE,Nishane,unisex,,0,,,1,1,1,0,0,0,0,"MISSING:season,notes5,fragrantica"
95,2154-KAY EL,UTOPIA VANILLA COCO 21 - KAYALI,Kayali,unisex,,0,,,1,1,1,0,0,0,0,"MISSING:season,notes5,fragrantica"
96,225-DIP EL,EL EAU DES SENS,Diptyque,unisex,,0,,,1,1,1,0,0,0,0,"MISSING:season,notes5,fragrantica"
97,2261-PARF,ALTHAIR - PARFUMS DE MARLY,Parfums de Marly,unisex,winter,0,,https://www.fragrantica.com/perfume/parfums-de-marly/althair-84109.html,1,1,1,1,0,1,0,MISSING:notes5
98,1085-DRC,,,,,0,,,0,0,0,0,0,0,0,MISSING_FROM_MASTER
99,124-INI N,Side Effect - Initio Parfums Prives,Initio Parfums Privés,unisex,,0,,,1,1,1,0,0,0,0,"MISSING:season,notes5,fragrantica"
100,181-XER N,ALEXANDRIA II,Xerjoff,unisex,,12,Apple|Cinnamon|Lavender|Palisander Rosewood|Cedar,https://thescentbase.com/it/perfumes/xerjoff/alexandria-ii,1,1,1,0,1,1,0,MISSING:season
