change,prestashop_product_id,shobi_name,reference,fields
MODIFIED,4123,2388-PARF Ν,AR417,url
MODIFIED,4135,2404-FRANB Ν,AR419,url
MODIFIED,4138,2399-MORH Ν,AR420,url
MODIFIED,4139,2400-MORH Ν,AR421,url
MODIFIED,4145,2421-XER Ν,AR423,url
MODIFIED,4150,2436-PHL Ν,AR426,url
MODIFIED,4155,2414-DIP Ν,AR428,url
MODIFIED,4156,2430-CELI Ν,AR430,url
MODIFIED,4169,2439-ZEG Ν,AR430,url
MODIFIED,4170,2431-ROJ Ν,AR431,url
MODIFIED,4171,2440-MARC Ν,AR432,url
MODIFIED,4172,2441-PANTRO Ν,AR433,url
MODIFIED,4185,2454-KIL Ν,AR440,url
MODIFIED,4211,2497-XER Ν,AR445,url
MODIFIED,4364,2552-SOR N,AR490,url
